masterid,irrLoss2100_m2,irr2015_m2,currentIrr20152017_m2
31163,NA,400969242.3529411,477527191.7647057
31041,NA,1294194967.0588236,1436585396.4705882
31047,NA,1171461681.1764696,1241425835.2941165
31115,NA,54644332.941176474,65154910.5882353
31009,NA,34810796.47058824,42626251.76470588
31073,44041492.941176474,392844285.8823528,431915830.58823514
31065,89924287.05882353,361895700,465293700
20137,39182629.41176471,97649908.2352941,170437390.58823526
20065,631800,64002278.82352941,115895707.05882353
20195,1681200,43344656.47058824,76056730.58823529
20135,250200,35158115.294117644,87535369.41176471
20083,6296583.529411765,127109576.47058822,256048648.23529416
20145,134955684.70588237,348401925.88235295,529394834.1176469
20159,26451264.70588235,357230283.5294118,542092397.6470587
20185,NA,446449627.0588236,514157865.88235307
20047,15325200,413564851.7647059,518295367.05882347
20151,181800,424744545.88235295,525168420
20097,19866405.88235294,288841807.0588235,349246330.58823526
20155,50344087.058823526,579084321.1764705,855396342.3529412
20095,284400,146389376.4705882,235666531.76470587
20057,242809602.35294116,511672044.70588243,882021900
48295,2272500,98242923.52941176,130363080
40045,260100,30090614.11764706,52652590.58823532
48211,111144.70588235294,14177975.294117644,29125740.000000007
