StateAbbrev,fips5,year,drylandAg,pasture,activeIrr_acres,cumLoss_drylandAg_acres,cumLoss_pasture_acres
KS,20055,2093,1808.1328227690624,763.5462018299606,133179.13155516263,116508.05410985599,24210.651890122626
KS,20055,2094,1653.8191540258133,478.972844787634,131046.33955634918,118161.8732638818,24689.62473491026
KS,20055,2095,1922.6591369211408,546.8876982522348,128576.79272117582,120084.53240080294,25236.512433162497
KS,20055,2096,1460.2981921695903,682.2054402407566,126434.28908876545,121544.83059297253,25918.717873403253
KS,20055,2097,1648.4909026938876,470.303085942627,124315.49510012896,123193.32149566642,26389.02095934588
KS,20055,2098,1419.5464138497339,539.1840309427191,122356.7646553365,124612.86790951615,26928.2049902886
KS,20055,2099,1575.8481955926734,390.3242888826102,120390.5921708612,126188.71610510883,27318.52927917121
KS,20055,2100,1396.2539564479614,468.7324066878662,118525.60580772537,127584.97006155679,27787.261685859074
NE,31057,2018,70.86617168406708,234.9355678773349,130636.27909482675,70.86617168406708,234.9355678773349
NE,31057,2019,58.78517146392609,235.78077463330965,130341.71314872951,129.65134314799317,470.71634251064455
NE,31057,2020,122.16115682193696,251.92798677812533,129967.62400512944,251.81249996993012,722.6443292887699
NE,31057,2021,87.48719873778413,241.88962823349732,129638.24717815817,339.29969870771424,964.5339575222672
NE,31057,2022,49.44986032261017,226.43712403004974,129362.3601938055,388.7495590303244,1190.971081552317
NE,31057,2023,60.49261701679016,179.88551890326082,129121.98205788546,449.2421760471146,1370.8566004555778
NE,31057,2024,34.492056211751404,129.60398644904635,128957.88601522466,483.734232258866,1500.460586904624
NE,31057,2025,34.493349697232055,136.24423141855348,128787.14843410888,518.227581956098,1636.7048183231775
NE,31057,2026,26.686016124103396,209.9499895929004,128550.51242839187,544.9135980802015,1846.654807916078
NE,31057,2027,104.8210245215802,279.4297197185687,128166.26168415172,649.7346226017817,2126.0845276346467
NE,31057,2028,91.92156670696076,242.5689525613913,127831.77116488336,741.6561893087425,2368.653480196038
NE,31057,2029,133.7280442606357,287.5981163036081,127410.44500431913,875.3842335693781,2656.251596499646
NE,31057,2030,101.94739346569855,213.00583088964234,127095.49177996379,977.3316270350766,2869.2574273892883
NE,31057,2031,122.00700809575105,179.54568787266754,126793.93908399537,1099.3386351308277,3048.803115261956
NE,31057,2032,52.83224710632904,168.3235600811716,126572.78327680787,1152.1708822371568,3217.1266753431278
NE,31057,2033,136.4295225387332,231.17647718281893,126205.17727708632,1288.60040477589,3448.3031525259466
NE,31057,2034,92.59441430180054,238.83048320444033,125873.75237958008,1381.1948190776905,3687.1336357303867
NE,31057,2035,45.51837304828827,288.26213193078036,125539.971874601,1426.7131921259788,3975.395767661167
NE,31057,2036,186.86127546754122,188.5318605075171,125164.57873862595,1613.57446759352,4163.927628168684
NE,31057,2037,149.84399632589142,177.50030890297944,124837.23443339707,1763.4184639194114,4341.427937071664
NE,31057,2038,152.36320922299927,234.41367362611695,124450.45755054796,1915.7816731424107,4575.841610697781
NE,31057,2039,122.49801278917023,147.62195225772095,124180.33758550107,2038.2796859315808,4723.463562955501
NE,31057,2040,198.72686047113342,155.58715108621644,123826.02357394372,2237.0065464027143,4879.0507140417185
NE,31057,2041,176.810846332323,225.2167354932776,123423.99599211811,2413.817392735037,5104.267449534996
NE,31057,2042,213.97952215569734,86.10906516500275,123123.90740479741,2627.7969148907346,5190.376514699999
NE,31057,2043,244.36362099101564,196.67818660723634,122682.86559719917,2872.16053588175,5387.054701307235
NE,31057,2044,270.1788153408237,147.42892607536348,122265.25785578298,3142.339351222574,5534.483627382599
NE,31057,2045,196.6688891458725,161.33222635492677,121907.25674028217,3339.0082403684464,5695.815853737525
NE,31057,2046,517.0800126868045,228.9188364207654,121161.25789117461,3856.088253055251,5924.7346901582905
NE,31057,2047,465.6276835306772,342.7159312298123,120352.91427641411,4321.715936585928,6267.450621388103
NE,31057,2048,553.9087134757684,302.97706279017456,119496.02850014818,4875.624650061696,6570.427684178278
NE,31057,2049,303.60143289054355,315.1637994871619,118877.26326777047,5179.22608295224,6885.591483665439
NE,31057,2050,511.4351150429407,399.79114149312744,117966.03701123441,5690.661197995181,7285.382625158567
NE,31057,2051,251.65402191407168,298.1890544758875,117416.19393484444,5942.315219909253,7583.571679634454
NE,31057,2052,262.00385435052766,213.78607785249542,116940.40400264141,6204.31907425978,7797.35775748695
NE,31057,2053,229.73486400361696,276.615846551687,116434.05329208612,6434.053938263397,8073.973604038637
NE,31057,2054,244.86656113947816,250.78803212542056,115938.39869882121,6678.920499402875,8324.761636164058
NE,31057,2055,264.2064424442398,288.66959928292056,115385.52265709406,6943.126941847115,8613.431235446978
NE,31057,2056,262.50856533269166,175.24791826249665,114947.76617349887,7205.635507179807,8788.679153709474
NE,31057,2057,268.98120248276064,189.35444840305524,114489.43052261305,7474.616709662568,8978.03360211253
NE,31057,2058,270.5039610588156,261.8393146811231,113957.08724687311,7745.120670721383,9239.872916793653
NE,31057,2059,339.65217788963713,276.2495828573041,113341.18548612617,8084.77284861102,9516.122499650957
NE,31057,2060,376.60164104369466,175.39523499416472,112789.18861008831,8461.374489654714,9691.517734645122
NE,31057,2061,273.5317599951404,235.20311724985024,112280.45373284332,8734.906249649855,9926.720851894972
NE,31057,2062,462.6857555726886,233.2811538914847,111584.48682337915,9197.592005222545,10160.002005786457
NE,31057,2063,421.20212035462555,212.6057026924507,110950.67900033208,9618.79412557717,10372.607708478907
NE,31057,2064,418.0078547552112,95.0980803067032,110437.57306527016,10036.80198033238,10467.70578878561
NE,31057,2065,297.4546383416226,181.74875886569765,109958.36966806283,10334.256618674004,10649.454547651309
NE,31057,2066,350.0421117774487,162.18345971477126,109446.14409657061,10684.298730451452,10811.638007366078
NE,31057,2067,376.07326407289645,226.67803069609502,108843.39280180163,11060.371994524348,11038.316038062174
NE,31057,2068,443.83612846135196,218.33540290153994,108181.22127043873,11504.208122985701,11256.651440963715
NE,31057,2069,534.3220500182742,209.51071520912356,107437.38850521133,12038.530173003976,11466.162156172837
NE,31057,2070,489.86609994039554,126.82042797093385,106820.7019773,12528.39627294437,11592.982584143772
NE,31057,2071,479.93895056062047,93.89069466005586,106246.87233207934,13008.335223504992,11686.873278803827
NE,31057,2072,422.5880945491486,173.88035005733124,105650.40388747286,13430.92331805414,11860.753628861159
NE,31057,2073,461.10008394191226,165.19456913484765,105024.10923439609,13892.023401996052,12025.948197996006
NE,31057,2074,582.5666748019858,155.88230389187805,104285.66025570223,14474.590076798037,12181.830501887884
NE,31057,2075,491.6601699427622,160.53664767874068,103633.46343808073,14966.2502467408,12342.367149566626
NE,31057,2076,342.5679475350794,141.9338799227054,103148.96161062294,15308.818194275878,12484.30102948933
NE,31057,2077,390.6244614610471,207.8243348899646,102550.51281427193,15699.442655736926,12692.125364379295
NE,31057,2078,359.7564265922397,83.52416200379761,102107.23222567589,16059.199082329165,12775.649526383093
NE,31057,2079,387.4587861092163,97.79847115086487,101621.97496841582,16446.657868438382,12873.447997533958
NE,31057,2080,313.8604185552692,198.1293229362311,101109.98522692431,16760.51828699365,13071.577320470189
NE,31057,2081,344.4485858514011,37.44866227824686,100728.08797879466,17104.966872845052,13109.025982748435
NE,31057,2082,269.1863563565097,158.58677934368288,100300.31484309447,17374.15322920156,13267.612762092118
NE,31057,2083,346.3449542922672,117.68243327902894,99836.28745552318,17720.49818349383,13385.295195371147
NE,31057,2084,267.84236177830996,153.79793671821474,99414.64715702666,17988.340545272138,13539.093132089361
NE,31057,2085,289.6203690867624,173.3221712481653,98951.70461669171,18277.9609143589,13712.415303337528
NE,31057,2086,258.5020168831192,116.81822105069244,98576.38437875791,18536.462931242022,13829.233524388219
NE,31057,2087,351.3279358568616,80.11564430370942,98144.94079859734,18887.790867098884,13909.34916869193
NE,31057,2088,317.5579277246787,230.88961910561557,97596.49325176704,19205.34879482356,14140.238787797545
NE,31057,2089,253.52947728446168,158.72810328417177,97184.2356711984,19458.878272108024,14298.966891081716
NE,31057,2090,319.53416229933015,187.2461127585733,96677.45539614052,19778.412434407353,14486.21300384029
NE,31057,2091,180.43812578425295,190.62431610169833,96306.39295425455,19958.850560191604,14676.837319941988
NE,31057,2092,197.70907148987885,136.31330544054748,95972.37057732412,20156.559631681484,14813.150625382536
NE,31057,2093,210.0563141506891,253.06922012077823,95509.24504305267,20366.615945832174,15066.219845503314
NE,31057,2094,187.84255361421722,163.28743036960327,95158.11505906883,20554.45849944639,15229.507275872917
NE,31057,2095,360.9005502821402,248.4918449591211,94548.72266382759,20915.35904972853,15477.999120832039
NE,31057,2096,289.4289024078293,140.53713014636415,94118.7566312734,21204.78795213636,15618.536250978403
NE,31057,2097,228.54587467870607,142.54318839718843,93747.6675681975,21433.333826815066,15761.079439375591
NE,31057,2098,355.95825469756744,162.22958603585175,93229.47972746407,21789.292081512634,15923.309025411443
NE,31057,2099,380.3309972585962,252.67252002514132,92596.47621018034,22169.62307877123,16175.981545436583
NE,31057,2100,241.78119423395327,220.4280034798743,92134.2670124665,22411.404273005184,16396.409548916457
NM,35041,2018,850.5204088298826,184.2924305116339,112335.68057533498,850.5204088298826,184.2924305116339
NM,35041,2019,926.5696429475394,178.3597632439911,111230.75116914343,1777.090051777422,362.65219375562504
NM,35041,2020,962.0755319423682,231.57076050890595,110037.10487669216,2739.1655837197904,594.2229542645309
NM,35041,2021,834.5879846608192,159.73982249246828,109042.77706953888,3573.7535683806095,753.9627767569992
NM,35041,2022,909.7914080136272,184.54521126493103,107948.44045026031,4483.544976394237,938.5079880219303
NM,35041,2023,794.4023939382639,285.41162152630466,106868.62643479575,5277.9473703325,1223.9196095482348
NM,35041,2024,862.3112305546838,215.14433324479714,105791.17087099627,6140.258600887184,1439.063942793032
NM,35041,2025,670.2018847546487,367.98024734771764,104752.98873889391,6810.460485641833,1807.0441901407496
NM,35041,2026,776.3215377201859,183.01706254587026,103793.65013862785,7586.782023362019,1990.06125268662
NM,35041,2027,764.415620516087,287.87852449388157,102741.35599361788,8351.197643878106,2277.9397771805016
NM,35041,2028,751.0655000571613,196.87328457136476,101793.41720898935,9102.263143935268,2474.8130617518664
NM,35041,2029,539.6660429536954,151.06437127369844,101102.68679476196,9641.929186888963,2625.8774330255646
NM,35041,2030,470.6601647333008,157.98960929904115,100474.03702072962,10112.589351622264,2783.867042324606
NM,35041,2031,353.47527216845003,219.58819175421297,99900.97355680696,10466.064623790713,3003.4552340788186
NM,35041,2032,398.4707681108124,150.5215190073694,99351.98126968877,10864.535391901525,3153.976753086188
NM,35041,2033,415.304299903141,242.9714512087207,98693.70551857691,11279.839691804667,3396.948204294909
