state,Year,revenue,valueAdded,scenario
CO,2066,6302489.814,3655444.092,1
CO,2067,6587325.764,3820648.943,1
CO,2068,6900330.716,4002191.815,1
CO,2069,7146715.505,4145094.993,1
CO,2070,7471489.042,4333463.644,1
CO,2071,7763658.557,4502921.963,1
CO,2072,8062839.906,4676447.145,1
CO,2073,8385432.002,4863550.561,1
CO,2074,8701010.722,5046586.219,1
CO,2075,9015429.65,5228949.197,1
CO,2076,9376520.148,5438381.686,1
CO,2077,9756942.622,5659026.721,1
CO,2078,10099315.65,5857603.077,1
CO,2079,10545726,6116521.081,1
CO,2080,10998324.08,6379027.966,1
CO,2081,11485751.22,6661735.709,1
CO,2082,11946378.31,6928899.418,1
CO,2083,12414882.64,7200631.929,1
CO,2084,12892123.8,7477431.804,1
CO,2085,13414554.43,7780441.57,1
CO,2086,13935133.29,8082377.307,1
CO,2087,14459448.25,8386479.986,1
CO,2088,14917373.07,8652076.38,1
CO,2089,15424441.94,8946176.324,1
CO,2090,16061785.82,9315835.775,1
CO,2091,16637962.03,9650017.975,1
CO,2092,17168537.68,9957751.856,1
CO,2093,17721134.87,10278258.22,1
CO,2094,18200666.71,10556386.69,1
CO,2095,18706414.48,10849720.4,1
CO,2096,19204513.63,11138617.91,1
CO,2097,19688200.27,11419156.15,1
CO,2098,20179106.98,11703882.05,1
CO,2099,20685311.5,11997480.67,1
CO,2100,21120994.18,12250176.63,1
NE,2018,98737.58393,54305.67116,1
NE,2019,193847.3432,106616.0387,1
NE,2020,314633.6352,173048.4993,1
NE,2021,420983.1679,231540.7423,1
NE,2022,510061.8445,280534.0145,1
NE,2023,587675.3872,323221.4629,1
NE,2024,640658.8882,352362.3885,1
NE,2025,695786.8161,382682.7489,1
NE,2026,772192.0959,424705.6527,1
NE,2027,896259.3761,492942.6569,1
NE,2028,1004260.023,552343.0127,1
NE,2029,1140298.252,627164.0388,1
NE,2030,1241990.677,683094.8724,1
NE,2031,1339356.325,736645.979,1
NE,2032,1410763.343,775919.8384,1
NE,2033,1529456.35,841200.9927,1
NE,2034,1636467.166,900056.9414,1
NE,2035,1744238.563,959331.2097,1
NE,2036,1865445.889,1025995.239,1
NE,2037,1971139.159,1084126.538,1
NE,2038,2096022.082,1152812.145,1
NE,2039,2183238.697,1200781.284,1
NE,2040,2297639.974,1263701.986,1
NE,2041,2427447.058,1335095.882,1
NE,2042,2524339.974,1388386.985,1
NE,2043,2666744.011,1466709.206,1
NE,2044,2801581.634,1540869.898,1
NE,2045,2917173.406,1604445.373,1
NE,2046,3158042.291,1736923.26,1
NE,2047,3419041.119,1880472.615,1
NE,2048,3695713.29,2032642.309,1
NE,2049,3895500.852,2142525.469,1
NE,2050,4189718.534,2304345.194,1
NE,2051,4367252.439,2401988.841,1
NE,2052,4520875.987,2486481.793,1
NE,2053,4684367.032,2576401.867,1
NE,2054,4844404.503,2664422.476,1
NE,2055,5022917.694,2762604.732,1
NE,2056,5164260.963,2840343.53,1
NE,2057,5312248.855,2921736.87,1
NE,2058,5484132.406,3016272.823,1
NE,2059,5682995.408,3125647.474,1
NE,2060,5861224.734,3223673.603,1
NE,2061,6025485.58,3314017.069,1
NE,2062,6250200.1,3437610.055,1
NE,2063,6454844.63,3550164.546,1
NE,2064,6620516.808,3641284.244,1
NE,2065,6775242.5,3726383.375,1
NE,2066,6940630.425,3817346.734,1
NE,2067,7135247.391,3924386.065,1
NE,2068,7349050.024,4041977.513,1
NE,2069,7589219.521,4174070.737,1
NE,2070,7788335.909,4283584.75,1
NE,2071,7973614.622,4385488.042,1
NE,2072,8166202.974,4491411.636,1
NE,2073,8368421.644,4602631.904,1
NE,2074,8606852.818,4733769.05,1
NE,2075,8817434.806,4849589.143,1
NE,2076,8973871.26,4935629.193,1
NE,2077,9167099.03,5041904.467,1
NE,2078,9310225.928,5120624.26,1
NE,2079,9466906.296,5206798.463,1
NE,2080,9632218.077,5297719.942,1
NE,2081,9755525.458,5365539.002,1
NE,2082,9893645.293,5441504.911,1
NE,2083,10043470.94,5523909.016,1
NE,2084,10179610.6,5598785.828,1
NE,2085,10329085.97,5680997.282,1
NE,2086,10450269.76,5747648.365,1
NE,2087,10589574.71,5824266.089,1
NE,2088,10766658.02,5921661.912,1
NE,2089,10899768.18,5994872.498,1
NE,2090,11063397.92,6084868.857,1
NE,2091,11183206.95,6150763.822,1
NE,2092,11291056.44,6210081.043,1
NE,2093,11440590.9,6292324.993,1
NE,2094,11553964.11,6354680.261,1
NE,2095,11750725.36,6462898.949,1
NE,2096,11889553.24,6539254.283,1
NE,2097,12009370.86,6605153.976,1
NE,2098,12176683.89,6697176.142,1
NE,2099,12381068.73,6809587.801,1
NE,2100,12530307.32,6891669.023,1
TX,2018,742006.9354,427911.3093,2
TX,2019,1564726.712,902827.4065,2
TX,2020,2312335.891,1334772.074,2
TX,2021,3002476.61,1733067.299,2
TX,2022,3777658.869,2180986.256,2
TX,2023,4520147.465,2609653.796,2
TX,2024,5312317.65,3067337.788,2
TX,2025,6144288.006,3548005.024,2
TX,2026,7118699.806,4111240.372,2
TX,2027,8133423.096,4698102.649,2
TX,2028,9228320.15,5331622.402,2
TX,2029,10432938.64,6028854.27,2
TX,2030,11672583.87,6746281.156,2
TX,2031,12735848.34,7361548.468,2
TX,2032,13727997.39,7935675.466,2
TX,2033,14777627.46,8542659.406,2
TX,2034,15653898.77,9049407.661,2
TX,2035,16568290.3,9578031.202,2
TX,2036,17491154.99,10111955.07,2
TX,2037,18460399.46,10672890.9,2
TX,2038,19301513.64,11159737.77,2
TX,2039,20105508.18,11624847.65,2
TX,2040,20981857.99,12132011.36,2
TX,2041,21826026.17,12620464.17,2
TX,2042,22751701.64,13156020.59,2
TX,2043,23635000.22,13667228.42,2
TX,2044,24572846.75,14209959,2
TX,2045,25377983.1,14676141.14,2
TX,2046,26023790,15050098.18,2
TX,2047,26555414.52,15357661.99,2
TX,2048,27101920.1,15674037.38,2
TX,2049,27600157.95,15962329.42,2
TX,2050,28066620.16,16232380.5,2
TX,2051,28571104.75,16524315.41,2
TX,2052,29120154.02,16842086.39,2
TX,2053,29653817.98,17151085.16,2
TX,2054,30153083.83,17440049.25,2
TX,2055,30603558.12,17700654.89,2
TX,2056,31128628.45,18004547.34,2
TX,2057,31594849,18274450.48,2
TX,2058,31964407.11,18488375.66,2
TX,2059,32381711.55,18729896.82,2
TX,2060,32626501.51,18871436.74,2
TX,2061,32929137.63,19046490.25,2
TX,2062,33115596.1,19154246.77,2
TX,2063,33320155.85,19272607.92,2
TX,2064,33521379.09,19388863.04,2
TX,2065,33662605.1,19470459.79,2
TX,2066,33830305.02,19567358.27,2
TX,2067,34050996.8,19695056.01,2
TX,2068,34200035.81,19781192.14,2
TX,2069,34387325.14,19889534.58,2
TX,2070,34574536.31,19997710,2
TX,2071,34760892.45,20105363.51,2
TX,2072,34907237.34,20189802.14,2
TX,2073,35108188.15,20305852.86,2
TX,2074,35271720.73,20400453.06,2
TX,2075,35462463.87,20510773.74,2
TX,2076,35613634.8,20598179.16,2
TX,2077,35769690.84,20688400.83,2
TX,2078,35898172.72,20762552.13,2
TX,2079,35999698.06,20821196.1,2
TX,2080,36148002.55,20906958.54,2
TX,2081,36248287.65,20964818.05,2
TX,2082,36382820.93,21042630.07,2
TX,2083,36500202.15,21110501.58,2
TX,2084,36630412.1,21185803.29,2
TX,2085,36745140.6,21252120.62,2
TX,2086,36850439.67,21313031.54,2
TX,2087,36952905.05,21372283.46,2
TX,2088,37049888.4,21428411.28,2
TX,2089,37141371.78,21481274.11,2
TX,2090,37226779.71,21530665.03,2
TX,2091,37317730.74,21583230.39,2
TX,2092,37447164.5,21658009.28,2
TX,2093,37536618.72,21709652.16,2
TX,2094,37655799.26,21778656.68,2
TX,2095,37764012.32,21841252.06,2
TX,2096,37866694.28,21900681.67,2
TX,2097,37975244.07,21963530.61,2
TX,2098,38088182.29,22028951.36,2
TX,2099,38192331.17,22089243.8,2
TX,2100,38280025.31,22139983.89,2
KS,2018,52631.54727,29999.98194,2
KS,2019,116235.5469,66253.80155,2
KS,2020,172933.0747,98570.47177,2
KS,2021,234717.8221,133787.3175,2
KS,2022,288666.0464,164535.7352,2
KS,2023,360549.2055,205503.7268,2
KS,2024,427223.5361,243508.0953,2
KS,2025,501593.3069,285898.8646,2
KS,2026,555931.3762,316869.8377,2
KS,2027,615834.6519,351012.7491,2
KS,2028,671703.3835,382857.9261,2
KS,2029,754352.4047,429965.9125,2
KS,2030,820717.1144,467792.301,2
KS,2031,906322.2057,516585.4776,2
KS,2032,968933.6484,552264.9063,2
KS,2033,1013468.667,577649.867,2
KS,2034,1086538.56,619295.3344,2
KS,2035,1149168.142,654988.3256,2
KS,2036,1232223.258,702325.8285,2
KS,2037,1315864.228,749993.1239,2
KS,2038,1378560.933,785722.4185,2
KS,2039,1500355.516,855134.3956,2
KS,2040,1580260.598,900665.0984,2
KS,2041,1659975.512,946077.2756,2
KS,2042,1783125.931,1016250.108,2
KS,2043,1903037.146,1084584.305,2
KS,2044,1981141.007,1129063.737,2
KS,2045,2096028.272,1194531.023,2
KS,2046,2254586.997,1284818.338,2
KS,2047,2397625.168,1366248.926,2
KS,2048,2652510.137,1511458.38,2
KS,2049,2871552.425,1636211.182,2
KS,2050,3094527.634,1763078.063,2
KS,2051,3420151.36,1948486.009,2
KS,2052,3761653.883,2142812.725,2
KS,2053,4106685.468,2339201.346,2
KS,2054,4667999.19,2658875.498,2
KS,2055,5307577.068,3023164.211,2
KS,2056,5911087.777,3366768.256,2
KS,2057,6520166.177,3713728.61,2
KS,2058,7162236.232,4079400.505,2
KS,2059,7801347.25,4443367.433,2
KS,2060,8431478.716,4802041.159,2
KS,2061,9226391.645,5254836.442,2
KS,2062,10094866.57,5749535.251,2
KS,2063,10979828.33,6253559.765,2
KS,2064,11743765.33,6688681.907,2
KS,2065,12401526.17,7063258.092,2
KS,2066,12991219.55,7398963.501,2
KS,2067,13595028.26,7742794.418,2
KS,2068,14254916.89,8118497.23,2
KS,2069,14811721.11,8435577.566,2
KS,2070,15427911.1,8786494.596,2
KS,2071,16028169.76,9128393.722,2
KS,2072,16595563.46,9451494.48,2
KS,2073,17187503.59,9788561.944,2
KS,2074,17832066.19,10155511.55,2
KS,2075,18417032.03,10488471.65,2
